code,filename,causal_event,sentence_nb,causal_type, avg_strength ,agreement_score,text,batch_code
POS,AmongtheFarmyardPeop.txt,Squab who can get a Swallow to tell him stories of the great world_happy is the Squab,1,IRAC,3,1,"There was never a Dove who would be a Swallow if he could , yet the plump , quiet , gray and white Doves dearly love the dashing Swallows , and happy is the Squab who can get a Swallow to tell him stories of the great world .",test1
POS,AmongtheFarmyardPeop.txt,""" Is n't it good to be home , home , home ! """""""" sang one Swallow ._"""""""" I never set my claws on another ridge-pole as comfortable as this . """"""""",2_3,IREC,3,1,""""""""" Is n't it good to be home , home , home ! """""""" sang one Swallow ._"""""""" I never set my claws on another ridge-pole as comfortable as this . """"""""",test1
POS,ApplegateKatherineCrenshawMG.txt,I like facts_it ’s not good to have a reputation for being crazy,3_2,IREC,2,1,"I like facts ._At my age , it ’s not good to have a reputation for being crazy .",test1
POS,AuntJosScrapBagVIAn.txt,Baby threw his apple overboard_Pa told him to bring a dezzen oranges ,1_2,IREC,2,1,"Pa told him to bring a dezzen oranges , if they war n't too high ! """""""" shouted Sol and Seth , running to the door , while the girls smacked their lips at the thought of this rare treat , and Baby threw his apple overboard , as if getting ready for a new cargo ._But all were doomed to disappointment , for it was not Gad , with the much-desired fruit .",test1
POS,BehrensPeterLawofDreamsPW.txt,His mother caught him looking at her_sensed his anger and confusion ,2,IRAC,3,1,His mother caught him looking at her and must have sensed his anger and confusion .,test1
POS,BlackHollyTheGoldenTowerMG.txt,"He can hear me _Havoc jerked his head up , blinking!",3_2,IREC,2,1,"He can hear me !_Havoc , quit it , Aaron thought , and Havoc jerked his head up , blinking .",test1
POS,BrightonLoriTheMindThievesYA.txt,There was something about the way he walked_feeling confused,2_1,IREC,2,1,"There was something about the way he walked … the way his dark hair glimmered under the light of the setting sun ._I tilted my head , leaning against the bar , feeling confused .",test1
POS,CassKieraTheEliteYA.txt,Aspen was my first love_the feelings I ’d been trying to let go of flooded,1_2,IREC,3,1,"He was n’t technically my boyfriend anymore — he ’d broken up with me before my name was even drawn for the Selection — but when he showed up at the palace as one of the guards , all the feelings I ’d been trying to let go of flooded my heart ._Aspen was my first love ; when I looked at him … I was his .",test1
POS,CassKieraTheEliteYA.txt,when I looked at him … I was his_Aspen was my first love,2,IRAC,2,1,Aspen was my first love ; when I looked at him … I was his .,test1
POS,ChainaniSomanAWorldWithoutPrincesMG.txt,I ca n’t do magic anymore _Our fingers do n’t glow here,1_2,IREC,3,1,"“ I told you I ca n’t do magic anymore , ” Agatha snapped , closing the door behind them ._“ Our fingers do n’t glow here . ”",test1
